Timestamp,Are you a student or an instructor in Capstone Design?,"STUDENTS: what have you had trouble finding, or would appreciate faster access to, on the EDN wiki so far? INSTRUCTORS: what are your most common questions from students about? (Select all that apply.)",What do students often do wrong on assignments? What do you often have to correct them on?,Comments?,How convenient would it be to access the chatbot through Webex chat?,How convenient would it be to access it on a standalone webpage THAT REQUIRES BEING ON THE RPI VPN?,Comments?
2022/02/14 11:13:49 PM EST,Student,"Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines",,,5,5,
2022/02/14 11:36:22 PM EST,Student,"Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Student/team member contact information;Purchasing guidelines",,,3,1,
2022/02/15 12:11:04 AM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.)",,,4,1,
2022/02/15 8:41:37 AM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Student/team member contact information;Purchasing guidelines",,,3,1,
2022/02/15 10:04:05 AM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Project/Chief Engineer & other facility contact infomation;Student/team member contact information;Available fabrication facilities and guidelines;Purchasing guidelines",,,2,1,
2022/02/15 10:56:04 AM EST,Student,"Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Subversion help;Available fabrication facilities and guidelines;Purchasing guidelines",,,4,3,
2022/02/15 12:29:29 PM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Project/Chief Engineer & other facility contact infomation;Available fabrication facilities and guidelines;Purchasing guidelines",,,3,4,
2022/02/15 2:26:00 PM EST,Student,Assignment templates & rubrics;Assignment due dates/deadlines,,,4,1,
2022/02/15 4:55:42 PM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Working with sponsors",,,4,1,If it was a different webex chat than used for the group then yes
2022/02/15 6:18:17 PM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Project/Chief Engineer & other facility contact infomation;Student/team member contact information;Available fabrication facilities and guidelines;Purchasing guidelines;Working with sponsors",,,5,2,"The EDN is an inefficient form of communication, but SVN is standard"
2022/02/17 10:54:06 AM EST,Student,Subversion help;Available fabrication facilities and guidelines,,,2,1,
2022/02/18 11:53:22 PM EST,Student,Subversion help;Available fabrication facilities and guidelines;Something that isn't a ---- downloadable power point going over how to commit to and get up to speed with subversion,,,5,1,No RPI VPN plz.
2022/02/22 11:36:11 AM EST,Student,Assignment due dates/deadlines;Available fabrication facilities and guidelines,,,4,2,
2022/02/22 11:36:59 AM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Subversion help",,,5,1,Nobody likes the VPN
2022/02/22 11:37:18 AM EST,Student,"Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines",,,5,1,
2022/02/22 11:38:15 AM EST,Student,"Assignment instructions (Statement of Work, Status Reports, etc.);Assignment due dates/deadlines;EDN usage/FAQs (what goes where on EDN forum/repository, how to use issues, etc.);Subversion help;Purchasing guidelines",,,4,1,
2022/02/22 11:40:59 AM EST,Student,"Class agendas & out-of-class activities;Assignment instructions (Statement of Work, Status Reports, etc.);Assignment templates & rubrics;Assignment due dates/deadlines",,,4,1,Please don't make another thing I need DUO for. It's extremely irritating.
